"HHID","Year","Weight"
11001,82,261.025
11002,82,261.025
11003,82,261.025
11004,82,261.025
11005,82,261.025
11006,82,261.025
11007,82,261.025
11008,82,261.025
11009,82,261.025
11010,82,261.025
11011,82,261.025
11012,82,261.025
11013,82,261.025
11014,82,261.025
11015,82,261.025
11016,82,261.025
11017,82,261.025
11018,82,261.025
11019,82,261.025
11020,82,261.025
11021,82,261.025
11022,82,261.025
11023,82,261.025
11024,82,261.025
11025,82,261.025
11026,82,261.025
11027,82,261.025
11028,82,261.025
11029,82,261.025
11030,82,261.025
11031,82,261.025
11032,82,261.025
11033,82,261.025
11034,82,261.025
11035,82,261.025
11036,82,261.025
11037,82,261.025
11038,82,261.025
11039,82,261.025
11040,82,261.025
12001,82,261.025
12002,82,261.025
12003,82,261.025
12004,82,261.025
12005,82,261.025
12006,82,261.025
12007,82,261.025
12008,82,261.025
12009,82,261.025
12010,82,261.025
12011,82,261.025
12012,82,261.025
12013,82,261.025
12014,82,261.025
12015,82,261.025
12016,82,261.025
12017,82,261.025
12018,82,261.025
12019,82,261.025
12020,82,261.025
12021,82,261.025
12022,82,261.025
12023,82,261.025
12024,82,261.025
12025,82,261.025
12026,82,261.025
12027,82,261.025
12028,82,261.025
12029,82,261.025
12030,82,261.025
12031,82,261.025
12032,82,261.025
12033,82,261.025
12034,82,261.025
12035,82,261.025
12036,82,261.025
12037,82,261.025
12038,82,261.025
12039,82,261.025
12040,82,261.025
13001,82,261.025
13002,82,261.025
13003,82,261.025
13004,82,261.025
13005,82,261.025
13006,82,261.025
13007,82,261.025
13008,82,261.025
13009,82,261.025
13010,82,261.025
13011,82,261.025
13012,82,261.025
13013,82,261.025
13014,82,261.025
13015,82,261.025
13016,82,261.025
13017,82,261.025
13018,82,261.025
13019,82,261.025
13020,82,261.025
13021,82,261.025
13022,82,261.025
13023,82,261.025
13024,82,261.025
13025,82,261.025
13026,82,261.025
13027,82,261.025
13028,82,261.025
13029,82,261.025
13030,82,261.025
13031,82,261.025
13032,82,261.025
13033,82,261.025
13034,82,261.025
13035,82,261.025
13036,82,261.025
13037,82,261.025
13038,82,261.025
13039,82,261.025
13040,82,261.025
14001,82,261.025
14002,82,261.025
14003,82,261.025
14004,82,261.025
14005,82,261.025
14006,82,261.025
14007,82,261.025
14008,82,261.025
14009,82,261.025
14010,82,261.025
14011,82,261.025
14012,82,261.025
14013,82,261.025
14014,82,261.025
14015,82,261.025
14016,82,261.025
14017,82,261.025
14018,82,261.025
14019,82,261.025
14020,82,261.025
14021,82,261.025
14022,82,261.025
14023,82,261.025
14024,82,261.025
14025,82,261.025
14026,82,261.025
14027,82,261.025
14028,82,261.025
14029,82,261.025
14030,82,261.025
14031,82,261.025
14032,82,261.025
14033,82,261.025
14034,82,261.025
14035,82,261.025
14036,82,261.025
14037,82,261.025
14038,82,261.025
14039,82,261.025
14040,82,261.025
21041,82,261.025
21042,82,261.025
21043,82,261.025
21044,82,261.025
21045,82,261.025
22041,82,261.025
22042,82,261.025
22043,82,261.025
22044,82,261.025
22045,82,261.025
31046,82,261.025
31047,82,261.025
31048,82,261.025
31049,82,261.025
31050,82,261.025
31051,82,261.025
31052,82,261.025
31053,82,261.025
31054,82,261.025
31055,82,261.025
32046,82,261.025
32047,82,261.025
32048,82,261.025
32049,82,261.025
32050,82,261.025
33041,82,261.025
33042,82,261.025
33043,82,261.025
33044,82,261.025
33045,82,261.025
33046,82,261.025
33047,82,261.025
33048,82,261.025
33049,82,261.025
33050,82,261.025
34041,82,261.025
34042,82,261.025
34043,82,261.025
34044,82,261.025
34045,82,261.025
34046,82,261.025
34047,82,261.025
34048,82,261.025
34049,82,261.025
34050,82,261.025
41056,82,261.025
41057,82,261.025
41058,82,261.025
41059,82,261.025
41060,82,261.025
41061,82,261.025
41062,82,261.025
41063,82,261.025
41064,82,261.025
41065,82,261.025
42051,82,261.025
42052,82,261.025
42053,82,261.025
42054,82,261.025
42055,82,261.025
42056,82,261.025
42057,82,261.025
42058,82,261.025
42059,82,261.025
42060,82,261.025
42061,82,261.025
42062,82,261.025
42063,82,261.025
42064,82,261.025
42065,82,261.025
43051,82,261.025
43052,82,261.025
43053,82,261.025
43054,82,261.025
43055,82,261.025
43056,82,261.025
43057,82,261.025
43058,82,261.025
43059,82,261.025
43060,82,261.025
43061,82,261.025
43062,82,261.025
43063,82,261.025
43064,82,261.025
43065,82,261.025
44051,82,261.025
44052,82,261.025
44053,82,261.025
44054,82,261.025
44055,82,261.025
44056,82,261.025
44057,82,261.025
44058,82,261.025
44059,82,261.025
44060,82,261.025
51066,82,261.025
51067,82,261.025
51068,82,261.025
51069,82,261.025
51070,82,261.025
54061,82,261.025
54062,82,261.025
54063,82,261.025
54064,82,261.025
54065,82,261.025
61071,82,261.025
61072,82,261.025
61073,82,261.025
61074,82,261.025
61075,82,261.025
61076,82,261.025
61077,82,261.025
61078,82,261.025
61079,82,261.025
61080,82,261.025
61081,82,261.025
61082,82,261.025
61083,82,261.025
61084,82,261.025
61085,82,261.025
61086,82,261.025
61087,82,261.025
61088,82,261.025
61089,82,261.025
61090,82,261.025
62066,82,261.025
62067,82,261.025
62068,82,261.025
62069,82,261.025
62070,82,261.025
62071,82,261.025
62072,82,261.025
62073,82,261.025
62074,82,261.025
62075,82,261.025
62076,82,261.025
62077,82,261.025
62078,82,261.025
62079,82,261.025
62080,82,261.025
62081,82,261.025
62082,82,261.025
62083,82,261.025
62084,82,261.025
62085,82,261.025
63066,82,261.025
63067,82,261.025
63068,82,261.025
63069,82,261.025
63070,82,261.025
63071,82,261.025
63072,82,261.025
63073,82,261.025
63074,82,261.025
63075,82,261.025
63076,82,261.025
63077,82,261.025
63078,82,261.025
63079,82,261.025
63080,82,261.025
63081,82,261.025
63082,82,261.025
63083,82,261.025
63084,82,261.025
63085,82,261.025
64066,82,261.025
64067,82,261.025
64068,82,261.025
64069,82,261.025
64070,82,261.025
64071,82,261.025
64072,82,261.025
64073,82,261.025
64074,82,261.025
64075,82,261.025
64076,82,261.025
64077,82,261.025
64078,82,261.025
64079,82,261.025
64080,82,261.025
64081,82,261.025
64082,82,261.025
64083,82,261.025
64084,82,261.025
64085,82,261.025
71091,82,261.025
71092,82,261.025
71093,82,261.025
71094,82,261.025
71095,82,261.025
71096,82,261.025
71097,82,261.025
71098,82,261.025
71099,82,261.025
71100,82,261.025
71101,82,261.025
71102,82,261.025
71103,82,261.025
71104,82,261.025
71105,82,261.025
71106,82,261.025
71107,82,261.025
71108,82,261.025
71109,82,261.025
71110,82,261.025
72086,82,261.025
72087,82,261.025
72088,82,261.025
72089,82,261.025
72090,82,261.025
72091,82,261.025
72092,82,261.025
72093,82,261.025
72094,82,261.025
72095,82,261.025
72096,82,261.025
72097,82,261.025
72098,82,261.025
72099,82,261.025
72100,82,261.025
72101,82,261.025
72102,82,261.025
72103,82,261.025
72104,82,261.025
72105,82,261.025
72106,82,261.025
72107,82,261.025
72108,82,261.025
72109,82,261.025
72110,82,261.025
73086,82,261.025
73087,82,261.025
73088,82,261.025
73089,82,261.025
73090,82,261.025
73091,82,261.025
73092,82,261.025
73093,82,261.025
73094,82,261.025
73095,82,261.025
73096,82,261.025
73097,82,261.025
73098,82,261.025
73099,82,261.025
73100,82,261.025
73101,82,261.025
73102,82,261.025
73103,82,261.025
73104,82,261.025
73105,82,261.025
74086,82,261.025
74087,82,261.025
74088,82,261.025
74089,82,261.025
74090,82,261.025
74091,82,261.025
74092,82,261.025
74093,82,261.025
74094,82,261.025
74095,82,261.025
74096,82,261.025
74097,82,261.025
74098,82,261.025
74099,82,261.025
74100,82,261.025
74101,82,261.025
74102,82,261.025
74103,82,261.025
74104,82,261.025
74105,82,261.025
93106,82,261.025
93107,82,261.025
93108,82,261.025
93109,82,261.025
93110,82,261.025
94106,82,261.025
94107,82,261.025
94108,82,261.025
94109,82,261.025
94110,82,261.025
1011001,82,525.696
1011002,82,525.696
1011003,82,525.696
1011004,82,525.696
1011005,82,525.696
1012001,82,525.696
1012002,82,525.696
1012003,82,525.696
1012004,82,525.696
1012005,82,525.696
1013001,82,525.696
1013002,82,525.696
1013003,82,525.696
1013004,82,525.696
1013005,82,525.696
1021006,82,525.696
1021007,82,525.696
1021008,82,525.696
1021009,82,525.696
1021010,82,525.696
1021011,82,525.696
1021012,82,525.696
1021013,82,525.696
1021014,82,525.696
1021015,82,525.696
1022006,82,525.696
1022007,82,525.696
1022008,82,525.696
1022009,82,525.696
1022010,82,525.696
1023006,82,525.696
1023007,82,525.696
1023008,82,525.696
1023009,82,525.696
1023010,82,525.696
1024001,82,525.696
1024002,82,525.696
1024003,82,525.696
1024004,82,525.696
1024005,82,525.696
1024006,82,525.696
1024007,82,525.696
1024008,82,525.696
1024009,82,525.696
1024010,82,525.696
1032011,82,525.696
1032012,82,525.696
1032013,82,525.696
1032014,82,525.696
1032015,82,525.696
1033011,82,525.696
1033012,82,525.696
1033013,82,525.696
1033014,82,525.696
1033015,82,525.696
1041016,82,525.696
1041017,82,525.696
1041018,82,525.696
1041019,82,525.696
1041020,82,525.696
1041021,82,525.696
1041022,82,525.696
1041023,82,525.696
1041024,82,525.696
1041025,82,525.696
1042016,82,525.696
1042017,82,525.696
1042018,82,525.696
1042019,82,525.696
1042020,82,525.696
1042021,82,525.696
1042022,82,525.696
1042023,82,525.696
1042024,82,525.696
1042025,82,525.696
1043016,82,525.696
1043017,82,525.696
1043018,82,525.696
1043019,82,525.696
1043020,82,525.696
1043021,82,525.696
1043022,82,525.696
1043023,82,525.696
1043024,82,525.696
1043025,82,525.696
1044011,82,525.696
1044012,82,525.696
1044013,82,525.696
1044014,82,525.696
1044015,82,525.696
1044016,82,525.696
1044017,82,525.696
1044018,82,525.696
1044019,82,525.696
1044020,82,525.696
1044021,82,525.696
1044022,82,525.696
1044023,82,525.696
1044024,82,525.696
1044025,82,525.696
1051026,82,525.696
1051027,82,525.696
1051028,82,525.696
1051029,82,525.696
1051030,82,525.696
1051031,82,525.696
1051032,82,525.696
1051033,82,525.696
1051034,82,525.696
1051035,82,525.696
1051036,82,525.696
1051037,82,525.696
1051038,82,525.696
1051039,82,525.696
1051040,82,525.696
1051041,82,525.696
1051042,82,525.696
1051043,82,525.696
1051044,82,525.696
1051045,82,525.696
1051046,82,525.696
1051047,82,525.696
1051048,82,525.696
1051049,82,525.696
1051050,82,525.696
1051051,82,525.696
1051052,82,525.696
1051053,82,525.696
1051054,82,525.696
1051055,82,525.696
1052026,82,525.696
1052027,82,525.696
1052028,82,525.696
1052029,82,525.696
1052030,82,525.696
1052031,82,525.696
1052032,82,525.696
1052033,82,525.696
1052034,82,525.696
1052035,82,525.696
1052036,82,525.696
1052037,82,525.696
1052038,82,525.696
1052039,82,525.696
1052040,82,525.696
1052041,82,525.696
1052042,82,525.696
1052043,82,525.696
1052044,82,525.696
1052045,82,525.696
1052046,82,525.696
1052047,82,525.696
1052048,82,525.696
1052049,82,525.696
1052050,82,525.696
1052051,82,525.696
1052052,82,525.696
1052053,82,525.696
1052054,82,525.696
1052055,82,525.696
1053026,82,525.696
1053027,82,525.696
1053028,82,525.696
1053029,82,525.696
1053030,82,525.696
1053031,82,525.696
1053032,82,525.696
1053033,82,525.696
1053034,82,525.696
1053035,82,525.696
1053036,82,525.696
1053037,82,525.696
1053038,82,525.696
1053039,82,525.696
1053040,82,525.696
1053041,82,525.696
1053042,82,525.696
1053043,82,525.696
1053044,82,525.696
1053045,82,525.696
1053046,82,525.696
1053047,82,525.696
1053048,82,525.696
1053049,82,525.696
1053050,82,525.696
1053051,82,525.696
1053052,82,525.696
1053053,82,525.696
1053054,82,525.696
1053055,82,525.696
1054026,82,525.696
1054027,82,525.696
1054028,82,525.696
1054029,82,525.696
1054030,82,525.696
