"HHID","Year","Weight"
10001000116,94,1216.87219324121
10001000117,94,1216.87219324121
10001000120,94,1216.87219324121
10001000123,94,1216.87219324121
10001000126,94,1216.87219324121
10001000129,94,1216.87219324121
10001000213,94,1216.87219324121
10001000216,94,1216.87219324121
10001000220,94,1216.87219324121
10001000223,94,1216.87219324121
10001000226,94,1216.87219324121
10001000229,94,1216.87219324121
10001000313,94,1216.87219324121
10001000317,94,1216.87219324121
10001000320,94,1216.87219324121
10001000323,94,1216.87219324121
10001000326,94,1216.87219324121
10001000329,94,1216.87219324121
10001000414,94,1460.24663188945
10001000420,94,1460.24663188945
10001000423,94,1460.24663188945
10001000426,94,1460.24663188945
10001000429,94,1460.24663188945
10001000513,94,1216.87219324121
10001000518,94,1216.87219324121
10001000519,94,1216.87219324121
10001000523,94,1216.87219324121
10001000526,94,1216.87219324121
10001000529,94,1216.87219324121
10001000613,94,1216.87219324121
10001000616,94,1216.87219324121
10001000620,94,1216.87219324121
10001000623,94,1216.87219324121
10001000626,94,1216.87219324121
10001000629,94,1216.87219324121
10001000713,94,1216.87219324121
10001000714,94,1216.87219324121
10001000720,94,1216.87219324121
10001000723,94,1216.87219324121
10001000726,94,1216.87219324121
10001000729,94,1216.87219324121
10001000813,94,1216.87219324121
10001000814,94,1216.87219324121
10001000820,94,1216.87219324121
10001000823,94,1216.87219324121
10001000826,94,1216.87219324121
10001000829,94,1216.87219324121
10001000913,94,1216.87219324121
10001000916,94,1216.87219324121
10001000922,94,1216.87219324121
10001000923,94,1216.87219324121
10001000926,94,1216.87219324121
10001000929,94,1216.87219324121
10001001015,94,1216.87219324121
10001001016,94,1216.87219324121
10001001020,94,1216.87219324121
10001001024,94,1216.87219324121
10001001026,94,1216.87219324121
10001001029,94,1216.87219324121
10001001113,94,1216.87219324121
10001001114,94,1216.87219324121
10001001123,94,1216.87219324121
10001001124,94,1216.87219324121
10001001126,94,1216.87219324121
10001001129,94,1216.87219324121
10001001216,94,1216.87219324121
10001001218,94,1216.87219324121
10001001222,94,1216.87219324121
10001001223,94,1216.87219324121
10001001226,94,1216.87219324121
10001001229,94,1216.87219324121
10001001313,94,1216.87219324121
10001001316,94,1216.87219324121
10001001322,94,1216.87219324121
10001001323,94,1216.87219324121
10001001326,94,1216.87219324121
10001001329,94,1216.87219324121
10001001413,94,1216.87219324121
10001001416,94,1216.87219324121
10001001420,94,1216.87219324121
10001001423,94,1216.87219324121
10001001426,94,1216.87219324121
10001001429,94,1216.87219324121
10001001513,94,1216.87219324121
10001001516,94,1216.87219324121
10001001523,94,1216.87219324121
10001001524,94,1216.87219324121
10001001526,94,1216.87219324121
10001001529,94,1216.87219324121
10001001613,94,1216.87219324121
10001001615,94,1216.87219324121
10001001620,94,1216.87219324121
10001001623,94,1216.87219324121
10001001626,94,1216.87219324121
10001001629,94,1216.87219324121
10001001713,94,1216.87219324121
10001001716,94,1216.87219324121
10001001720,94,1216.87219324121
10001001723,94,1216.87219324121
10001001726,94,1216.87219324121
10001001729,94,1216.87219324121
10001001813,94,1216.87219324121
10001001816,94,1216.87219324121
10001001821,94,1216.87219324121
10001001823,94,1216.87219324121
10001001826,94,1216.87219324121
10001001829,94,1216.87219324121
10001001913,94,1216.87219324121
10001001916,94,1216.87219324121
10001001920,94,1216.87219324121
10001001923,94,1216.87219324121
10001001926,94,1216.87219324121
10001001929,94,1216.87219324121
10001002013,94,1216.87219324121
10001002016,94,1216.87219324121
10001002020,94,1216.87219324121
10001002023,94,1216.87219324121
10001002026,94,1216.87219324121
10001002029,94,1216.87219324121
10001002116,94,1216.87219324121
10001002118,94,1216.87219324121
10001002119,94,1216.87219324121
10001002123,94,1216.87219324121
10001002126,94,1216.87219324121
10001002129,94,1216.87219324121
10001002213,94,1216.87219324121
10001002216,94,1216.87219324121
10001002220,94,1216.87219324121
10001002221,94,1216.87219324121
10001002226,94,1216.87219324121
10001002229,94,1216.87219324121
10001002316,94,1216.87219324121
10001002317,94,1216.87219324121
10001002320,94,1216.87219324121
10001002323,94,1216.87219324121
10001002326,94,1216.87219324121
10001002329,94,1216.87219324121
10001002414,94,1216.87219324121
10001002415,94,1216.87219324121
10001002421,94,1216.87219324121
10001002423,94,1216.87219324121
10001002426,94,1216.87219324121
10001002429,94,1216.87219324121
10001002513,94,1216.87219324121
10001002516,94,1216.87219324121
10001002520,94,1216.87219324121
10001002523,94,1216.87219324121
10001002526,94,1216.87219324121
10001002529,94,1216.87219324121
10001002613,94,1216.87219324121
10001002616,94,1216.87219324121
10001002620,94,1216.87219324121
10001002623,94,1216.87219324121
10001002626,94,1216.87219324121
10001002629,94,1216.87219324121
10002002714,94,173.458932285901
10002002716,94,173.458932285901
10002002722,94,173.458932285901
10002002724,94,173.458932285901
10002002726,94,173.458932285901
10002002729,94,173.458932285901
10002002813,94,173.458932285901
10002002814,94,173.458932285901
10002002819,94,173.458932285901
10002002821,94,173.458932285901
10002002826,94,173.458932285901
10002002829,94,173.458932285901
10002002913,94,173.458932285901
10002002914,94,173.458932285901
10002002919,94,173.458932285901
10002002921,94,173.458932285901
10002002926,94,173.458932285901
10002002929,94,173.458932285901
10003003017,94,189.959785717933
10003003018,94,189.959785717933
10003003020,94,189.959785717933
10003003023,94,189.959785717933
10003003026,94,189.959785717933
10003003029,94,189.959785717933
10003003116,94,189.959785717933
10003003117,94,189.959785717933
10003003120,94,189.959785717933
10003003123,94,189.959785717933
10003003126,94,189.959785717933
10003003129,94,189.959785717933
10003003213,94,189.959785717933
10003003217,94,189.959785717933
10003003220,94,189.959785717933
10003003223,94,189.959785717933
10003003226,94,189.959785717933
10003003229,94,189.959785717933
10003003314,94,189.959785717933
10003003315,94,189.959785717933
10003003320,94,189.959785717933
10003003323,94,189.959785717933
10003003326,94,189.959785717933
10003003329,94,189.959785717933
10003003417,94,189.959785717933
10003003418,94,189.959785717933
10003003419,94,189.959785717933
10003003420,94,189.959785717933
10003003426,94,189.959785717933
10003003429,94,189.959785717933
10004003516,94,423.171417511618
10004003517,94,423.171417511618
10004003520,94,423.171417511618
10004003524,94,423.171417511618
10004003526,94,423.171417511618
10004003529,94,423.171417511618
10004003613,94,423.171417511618
10004003614,94,423.171417511618
10004003619,94,423.171417511618
10004003622,94,423.171417511618
10004003626,94,423.171417511618
10004003629,94,423.171417511618
10004003713,94,423.171417511618
10004003716,94,423.171417511618
10004003720,94,423.171417511618
10004003723,94,423.171417511618
10004003726,94,423.171417511618
10004003729,94,423.171417511618
10004003813,94,423.171417511618
10004003816,94,423.171417511618
10004003820,94,423.171417511618
10004003823,94,423.171417511618
10004003826,94,423.171417511618
10004003829,94,423.171417511618
10004003916,94,423.171417511618
10004003917,94,423.171417511618
10004003920,94,423.171417511618
10004003923,94,423.171417511618
10004003926,94,423.171417511618
10004003929,94,423.171417511618
10004004013,94,423.171417511618
10004004016,94,423.171417511618
10004004021,94,423.171417511618
10004004023,94,423.171417511618
10004004026,94,423.171417511618
10004004029,94,423.171417511618
10004004114,94,423.171417511618
10004004117,94,423.171417511618
10004004122,94,423.171417511618
10004004123,94,423.171417511618
10004004126,94,423.171417511618
10004004129,94,423.171417511618
10004004213,94,423.171417511618
10004004214,94,423.171417511618
10004004222,94,423.171417511618
10004004223,94,423.171417511618
10004004226,94,423.171417511618
10004004229,94,423.171417511618
10004004316,94,423.171417511618
10004004317,94,423.171417511618
10004004320,94,423.171417511618
10004004324,94,423.171417511618
10004004326,94,423.171417511618
10004004329,94,423.171417511618
10004004413,94,423.171417511618
10004004416,94,423.171417511618
10004004420,94,423.171417511618
10004004422,94,423.171417511618
10004004426,94,423.171417511618
10004004429,94,423.171417511618
10005004513,94,326.248025273217
10005004516,94,326.248025273217
10005004519,94,326.248025273217
10005004523,94,326.248025273217
10005004526,94,326.248025273217
10005004529,94,326.248025273217
10005004613,94,326.248025273217
10005004615,94,326.248025273217
10005004619,94,326.248025273217
10005004621,94,326.248025273217
10005004626,94,326.248025273217
10005004629,94,326.248025273217
10005004715,94,326.248025273217
10005004718,94,326.248025273217
10005004721,94,326.248025273217
10005004723,94,326.248025273217
10005004726,94,326.248025273217
10005004729,94,326.248025273217
10005004814,94,326.248025273217
10005004818,94,326.248025273217
10005004820,94,326.248025273217
10005004823,94,326.248025273217
10005004826,94,326.248025273217
10005004829,94,326.248025273217
10005004913,94,326.248025273217
10005004917,94,326.248025273217
10005004920,94,326.248025273217
10005004923,94,326.248025273217
10005004926,94,326.248025273217
10005004929,94,326.248025273217
10005005015,94,326.248025273217
10005005016,94,326.248025273217
10005005020,94,326.248025273217
10005005023,94,326.248025273217
10005005026,94,326.248025273217
10005005029,94,326.248025273217
10005005113,94,326.248025273217
10005005116,94,326.248025273217
10005005120,94,326.248025273217
10005005123,94,326.248025273217
10005005126,94,326.248025273217
10005005129,94,326.248025273217
10006005215,94,729.874902528312
10006005218,94,729.874902528312
10006005219,94,729.874902528312
10006005223,94,729.874902528312
10006005226,94,729.874902528312
10006005229,94,729.874902528312
10006005316,94,729.874902528312
10006005317,94,729.874902528312
10006005323,94,729.874902528312
10006005324,94,729.874902528312
10006005326,94,729.874902528312
10006005329,94,729.874902528312
10006005414,94,729.874902528312
10006005417,94,729.874902528312
10006005421,94,729.874902528312
10006005423,94,729.874902528312
10006005426,94,729.874902528312
10006005429,94,729.874902528312
10006005513,94,729.874902528312
10006005516,94,729.874902528312
10006005520,94,729.874902528312
10006005523,94,729.874902528312
10006005526,94,729.874902528312
10006005529,94,729.874902528312
10006005615,94,729.874902528312
10006005616,94,729.874902528312
10006005623,94,729.874902528312
10006005624,94,729.874902528312
10006005626,94,729.874902528312
10006005629,94,729.874902528312
10006005713,94,729.874902528312
10006005717,94,729.874902528312
10006005722,94,729.874902528312
10006005723,94,729.874902528312
10006005726,94,729.874902528312
10006005729,94,729.874902528312
10006005813,94,729.874902528312
10006005816,94,729.874902528312
10006005820,94,729.874902528312
10006005821,94,729.874902528312
10006005826,94,729.874902528312
10006005829,94,729.874902528312
10006005913,94,729.874902528312
10006005916,94,729.874902528312
10006005920,94,729.874902528312
10006005923,94,729.874902528312
10006005926,94,729.874902528312
10006005929,94,729.874902528312
10006006015,94,729.874902528312
10006006017,94,729.874902528312
10006006023,94,729.874902528312
10006006024,94,729.874902528312
10006006026,94,729.874902528312
10006006029,94,729.874902528312
10006006113,94,729.874902528312
10006006116,94,729.874902528312
10006006120,94,729.874902528312
10006006123,94,729.874902528312
10006006126,94,729.874902528312
10006006129,94,729.874902528312
10006006214,94,729.874902528312
10006006217,94,729.874902528312
10006006220,94,729.874902528312
10006006224,94,729.874902528312
10006006226,94,729.874902528312
10006006229,94,729.874902528312
10006006313,94,729.874902528312
10006006316,94,729.874902528312
10006006320,94,729.874902528312
10006006323,94,729.874902528312
10006006326,94,729.874902528312
10006006329,94,729.874902528312
10006006417,94,729.874902528312
10006006418,94,729.874902528312
10006006419,94,729.874902528312
10006006420,94,729.874902528312
10006006426,94,729.874902528312
10006006429,94,729.874902528312
10006006514,94,729.874902528312
10006006518,94,729.874902528312
10006006520,94,729.874902528312
10006006524,94,729.874902528312
10006006526,94,729.874902528312
10006006529,94,729.874902528312
10006006613,94,729.874902528312
10006006614,94,729.874902528312
10006006620,94,729.874902528312
10006006623,94,729.874902528312
10006006626,94,729.874902528312
10006006629,94,729.874902528312
10006006713,94,729.874902528312
10006006716,94,729.874902528312
10006006722,94,729.874902528312
10006006723,94,729.874902528312
10006006726,94,729.874902528312
10006006729,94,729.874902528312
10007006813,94,358.704188451825
10007006818,94,358.704188451825
10007006820,94,358.704188451825
10007006823,94,358.704188451825
10007006826,94,358.704188451825
10007006829,94,358.704188451825
10007006917,94,358.704188451825
10007006918,94,358.704188451825
10007006920,94,358.704188451825
10007006923,94,358.704188451825
10007006926,94,358.704188451825
10007006929,94,358.704188451825
10007007015,94,358.704188451825
10007007018,94,358.704188451825
10007007020,94,358.704188451825
10007007023,94,358.704188451825
10007007026,94,358.704188451825
10007007029,94,358.704188451825
10007007113,94,358.704188451825
10007007115,94,358.704188451825
10007007122,94,358.704188451825
10007007123,94,358.704188451825
10007007126,94,358.704188451825
10007007129,94,358.704188451825
10007007213,94,358.704188451825
10007007215,94,358.704188451825
10007007219,94,358.704188451825
10007007220,94,358.704188451825
10007007226,94,358.704188451825
10007007229,94,358.704188451825
10007007313,94,358.704188451825
10007007316,94,358.704188451825
10007007320,94,358.704188451825
10007007323,94,358.704188451825
10007007326,94,358.704188451825
10007007329,94,358.704188451825
10007007413,94,358.704188451825
10007007416,94,358.704188451825
10007007420,94,358.704188451825
10007007423,94,358.704188451825
10007007426,94,358.704188451825
10007007429,94,358.704188451825
10009007513,94,347.514552977769
10009007517,94,347.514552977769
10009007520,94,347.514552977769
10009007522,94,347.514552977769
10009007526,94,347.514552977769
10009007529,94,347.514552977769
10009007616,94,347.514552977769
10009007617,94,347.514552977769
10009007621,94,347.514552977769
10009007623,94,347.514552977769
10009007626,94,347.514552977769
10009007629,94,347.514552977769
10009007713,94,347.514552977769
10009007716,94,347.514552977769
10009007720,94,347.514552977769
10009007723,94,347.514552977769
10009007726,94,347.514552977769
10009007729,94,347.514552977769
10009007813,94,417.017463573323
10009007814,94,417.017463573323
10009007822,94,417.017463573323
10009007823,94,417.017463573323
10009007829,94,417.017463573323
10009007913,94,347.514552977769
10009007914,94,347.514552977769
10009007920,94,347.514552977769
10009007923,94,347.514552977769
10009007926,94,347.514552977769
10009007929,94,347.514552977769
10009008016,94,347.514552977769
10009008018,94,347.514552977769
10009008019,94,347.514552977769
10009008021,94,347.514552977769
10009008026,94,347.514552977769
10009008029,94,347.514552977769
10009008116,94,347.514552977769
10009008118,94,347.514552977769
10009008120,94,347.514552977769
10009008123,94,347.514552977769
10009008126,94,347.514552977769
10009008129,94,347.514552977769
10009008214,94,347.514552977769
10009008215,94,347.514552977769
10009008221,94,347.514552977769
10009008222,94,347.514552977769
10009008226,94,347.514552977769
10009008229,94,347.514552977769
10010008313,94,301.117997735436
10010008315,94,301.117997735436
10010008321,94,301.117997735436
10010008323,94,301.117997735436
10010008326,94,301.117997735436
10010008329,94,301.117997735436
10010008413,94,301.117997735436
10010008415,94,301.117997735436
10010008421,94,301.117997735436
10010008423,94,301.117997735436
10010008426,94,301.117997735436
10010008429,94,301.117997735436
10010008513,94,301.117997735436
10010008516,94,301.117997735436
10010008521,94,301.117997735436
10010008523,94,301.117997735436
10010008526,94,301.117997735436
10010008529,94,301.117997735436
10010008613,94,301.117997735436
10010008616,94,301.117997735436
10010008620,94,301.117997735436
10010008622,94,301.117997735436
10010008626,94,301.117997735436
10010008629,94,301.117997735436
10010008713,94,301.117997735436
10010008717,94,301.117997735436
10010008720,94,301.117997735436
10010008723,94,301.117997735436
10010008726,94,301.117997735436
10010008729,94,301.117997735436
10010008813,94,301.117997735436
10010008816,94,301.117997735436
10010008819,94,301.117997735436
10010008821,94,301.117997735436
10010008826,94,301.117997735436
10010008829,94,301.117997735436
10010008913,94,301.117997735436
10010008914,94,301.117997735436
10010008921,94,301.117997735436
10010008923,94,301.117997735436
10010008926,94,301.117997735436
10010008929,94,301.117997735436
10011009016,94,189.998489830752
10011009018,94,189.998489830752
10011009020,94,189.998489830752
10011009023,94,189.998489830752
10011009026,94,189.998489830752
10011009029,94,189.998489830752
10011009114,94,189.998489830752
10011009115,94,189.998489830752
10011009123,94,189.998489830752
10011009124,94,189.998489830752
10011009126,94,189.998489830752
10011009129,94,189.998489830752
10011009217,94,189.998489830752
10011009218,94,189.998489830752
10011009219,94,189.998489830752
10011009221,94,189.998489830752
10011009226,94,189.998489830752
10011009229,94,189.998489830752
10011009313,94,189.998489830752
10011009316,94,189.998489830752
10011009320,94,189.998489830752
10011009323,94,189.998489830752
10011009326,94,189.998489830752
10011009329,94,189.998489830752
10011009413,94,189.998489830752
10011009414,94,189.998489830752
10011009422,94,189.998489830752
10011009424,94,189.998489830752
10011009426,94,189.998489830752
10011009429,94,189.998489830752
10012009513,94,177.409977136221
10012009516,94,177.409977136221
10012009521,94,177.409977136221
10012009523,94,177.409977136221
10012009526,94,177.409977136221
10012009529,94,177.409977136221
10012009613,94,177.409977136221
10012009617,94,177.409977136221
10012009620,94,177.409977136221
10012009623,94,177.409977136221
10012009626,94,177.409977136221
10012009629,94,177.409977136221
10012009713,94,177.409977136221
10012009716,94,177.409977136221
10012009720,94,177.409977136221
10012009723,94,177.409977136221
10012009726,94,177.409977136221
10012009729,94,177.409977136221
10012009813,94,177.409977136221
10012009816,94,177.409977136221
10012009820,94,177.409977136221
10012009823,94,177.409977136221
10012009826,94,177.409977136221
10012009829,94,177.409977136221
10013009914,94,128.01385315038
10013009916,94,128.01385315038
10013009920,94,128.01385315038
10013009921,94,128.01385315038
10013009926,94,128.01385315038
10013009929,94,128.01385315038
10013010014,94,128.01385315038
10013010015,94,128.01385315038
10013010022,94,128.01385315038
10013010024,94,128.01385315038
10013010026,94,128.01385315038
10013010029,94,128.01385315038
10101024313,94,691.458813318976
10101024316,94,691.458813318976
10101024319,94,691.458813318976
10101024323,94,691.458813318976
10101024326,94,691.458813318976
10101024329,94,691.458813318976
10101024413,94,691.458813318976
