"HHID","Weight","Year"
"20001383908",171.199523918059,98
"20001383911",171.199523918059,98
"20001383915",171.199523918059,98
"20001383916",171.199523918059,98
"20001383920",171.199523918059,98
"20001383923",171.199523918059,98
"20001384008",171.199523918059,98
"20001384011",171.199523918059,98
"20001384014",171.199523918059,98
"20001384015",171.199523918059,98
"20001384020",171.199523918059,98
"20001384023",171.199523918059,98
"20001384109",171.199523918059,98
"20001384111",171.199523918059,98
"20001384113",171.199523918059,98
"20001384117",171.199523918059,98
"20001384120",171.199523918059,98
"20001384123",171.199523918059,98
"20001384207",171.199523918059,98
"20001384208",171.199523918059,98
"20001384214",171.199523918059,98
"20001384215",171.199523918059,98
"20001384220",171.199523918059,98
"20001384223",171.199523918059,98
"20001384308",171.199523918059,98
"20001384311",171.199523918059,98
"20001384316",171.199523918059,98
"20001384317",171.199523918059,98
"20001384320",171.199523918059,98
"20001384323",171.199523918059,98
"20001384408",171.199523918059,98
"20001384410",171.199523918059,98
"20001384413",171.199523918059,98
"20001384414",171.199523918059,98
"20001384420",171.199523918059,98
"20001384423",171.199523918059,98
"20001384507",171.199523918059,98
"20001384508",171.199523918059,98
"20001384514",171.199523918059,98
"20001384517",171.199523918059,98
"20001384520",171.199523918059,98
"20001384523",171.199523918059,98
"20001384608",171.199523918059,98
"20001384609",171.199523918059,98
"20001384616",171.199523918059,98
"20001384617",171.199523918059,98
"20001384620",171.199523918059,98
"20001384623",171.199523918059,98
"20001384708",171.199523918059,98
"20001384711",171.199523918059,98
"20001384716",171.199523918059,98
"20001384718",171.199523918059,98
"20001384720",171.199523918059,98
"20001384723",171.199523918059,98
"20001384809",171.199523918059,98
"20001384811",171.199523918059,98
"20001384814",171.199523918059,98
"20001384817",171.199523918059,98
"20001384820",171.199523918059,98
"20001384823",171.199523918059,98
"20001384908",171.199523918059,98
"20001384909",171.199523918059,98
"20001384914",171.199523918059,98
"20001384917",171.199523918059,98
"20001384920",171.199523918059,98
"20001384923",171.199523918059,98
"20001385007",171.199523918059,98
"20001385009",171.199523918059,98
"20001385014",171.199523918059,98
"20001385018",171.199523918059,98
"20001385020",171.199523918059,98
"20001385023",171.199523918059,98
"20001385107",171.199523918059,98
"20001385108",171.199523918059,98
"20001385114",171.199523918059,98
"20001385115",171.199523918059,98
"20001385120",171.199523918059,98
"20001385123",171.199523918059,98
"20001385207",171.199523918059,98
"20001385209",171.199523918059,98
"20001385213",171.199523918059,98
"20001385214",171.199523918059,98
"20001385220",171.199523918059,98
"20001385223",171.199523918059,98
"20001385308",171.199523918059,98
"20001385311",171.199523918059,98
"20001385314",171.199523918059,98
"20001385317",171.199523918059,98
"20001385320",171.199523918059,98
"20001385323",171.199523918059,98
"20001385408",171.199523918059,98
"20001385412",171.199523918059,98
"20001385415",171.199523918059,98
"20001385417",171.199523918059,98
"20001385420",171.199523918059,98
"20001385423",171.199523918059,98
"20001385508",171.199523918059,98
"20001385511",171.199523918059,98
"20001385515",171.199523918059,98
"20001385517",171.199523918059,98
"20001385520",171.199523918059,98
"20001385523",171.199523918059,98
"20001385607",171.199523918059,98
"20001385608",171.199523918059,98
"20001385616",171.199523918059,98
"20001385617",171.199523918059,98
"20001385620",171.199523918059,98
"20001385623",171.199523918059,98
"20001385707",171.199523918059,98
"20001385711",171.199523918059,98
"20001385716",171.199523918059,98
"20001385717",171.199523918059,98
"20001385720",171.199523918059,98
"20001385723",171.199523918059,98
"20002385808",68.3062724727416,98
"20002385811",68.3062724727416,98
"20002385814",68.3062724727416,98
"20002385817",68.3062724727416,98
"20002385820",68.3062724727416,98
"20002385823",68.3062724727416,98
"20002385909",68.3062724727416,98
"20002385911",68.3062724727416,98
"20002385915",68.3062724727416,98
"20002385916",68.3062724727416,98
"20002385920",68.3062724727416,98
"20002385923",68.3062724727416,98
"20002386008",81.96752696729,98
"20002386011",81.96752696729,98
"20002386015",81.96752696729,98
"20002386020",81.96752696729,98
"20002386023",81.96752696729,98
"20002386108",68.3062724727416,98
"20002386111",68.3062724727416,98
"20002386115",68.3062724727416,98
"20002386117",68.3062724727416,98
"20002386120",68.3062724727416,98
"20002386123",68.3062724727416,98
"20002386211",68.3062724727416,98
"20002386212",68.3062724727416,98
"20002386213",68.3062724727416,98
"20002386216",68.3062724727416,98
"20002386220",68.3062724727416,98
"20002386223",68.3062724727416,98
"20002386310",68.3062724727416,98
"20002386311",68.3062724727416,98
"20002386313",68.3062724727416,98
"20002386314",68.3062724727416,98
"20002386320",68.3062724727416,98
"20002386323",68.3062724727416,98
"20002386407",68.3062724727416,98
"20002386408",68.3062724727416,98
"20002386414",68.3062724727416,98
"20002386417",68.3062724727416,98
"20002386420",68.3062724727416,98
"20002386423",68.3062724727416,98
"20003386508",75.4912262054652,98
"20003386511",75.4912262054652,98
"20003386514",75.4912262054652,98
"20003386516",75.4912262054652,98
"20003386520",75.4912262054652,98
"20003386523",75.4912262054652,98
"20003386609",90.5894714465582,98
"20003386610",90.5894714465582,98
"20003386613",90.5894714465582,98
"20003386614",90.5894714465582,98
"20003386620",90.5894714465582,98
"20003386707",75.4912262054652,98
"20003386708",75.4912262054652,98
"20003386713",75.4912262054652,98
"20003386715",75.4912262054652,98
"20003386720",75.4912262054652,98
"20003386723",75.4912262054652,98
"20003386807",75.4912262054652,98
"20003386811",75.4912262054652,98
"20003386814",75.4912262054652,98
"20003386816",75.4912262054652,98
"20003386820",75.4912262054652,98
"20003386823",75.4912262054652,98
"20003386909",75.4912262054652,98
"20003386912",75.4912262054652,98
"20003386914",75.4912262054652,98
"20003386917",75.4912262054652,98
"20003386920",75.4912262054652,98
"20003386923",75.4912262054652,98
"20003387007",75.4912262054652,98
"20003387008",75.4912262054652,98
"20003387014",75.4912262054652,98
"20003387017",75.4912262054652,98
"20003387020",75.4912262054652,98
"20003387023",75.4912262054652,98
"20003387108",75.4912262054652,98
"20003387111",75.4912262054652,98
"20003387113",75.4912262054652,98
"20003387116",75.4912262054652,98
"20003387120",75.4912262054652,98
"20003387123",75.4912262054652,98
"20004387209",126.413355485847,98
"20004387211",126.413355485847,98
"20004387214",126.413355485847,98
"20004387215",126.413355485847,98
"20004387220",126.413355485847,98
"20004387223",126.413355485847,98
"20004387307",126.413355485847,98
"20004387308",126.413355485847,98
"20004387314",126.413355485847,98
"20004387317",126.413355485847,98
"20004387320",126.413355485847,98
"20004387323",126.413355485847,98
"20004387408",126.413355485847,98
"20004387411",126.413355485847,98
"20004387414",126.413355485847,98
"20004387417",126.413355485847,98
"20004387420",126.413355485847,98
"20004387423",126.413355485847,98
"20004387510",126.413355485847,98
"20004387511",126.413355485847,98
"20004387513",126.413355485847,98
"20004387514",126.413355485847,98
"20004387520",126.413355485847,98
"20004387523",126.413355485847,98
"20004387607",126.413355485847,98
"20004387608",126.413355485847,98
"20004387614",126.413355485847,98
"20004387617",126.413355485847,98
"20004387620",126.413355485847,98
"20004387623",126.413355485847,98
"20004387708",126.413355485847,98
"20004387710",126.413355485847,98
"20004387713",126.413355485847,98
"20004387714",126.413355485847,98
"20004387720",126.413355485847,98
"20004387723",126.413355485847,98
"20004387809",126.413355485847,98
"20004387811",126.413355485847,98
"20004387813",126.413355485847,98
"20004387817",126.413355485847,98
"20004387820",126.413355485847,98
"20004387823",126.413355485847,98
"20004387910",126.413355485847,98
"20004387912",126.413355485847,98
"20004387913",126.413355485847,98
"20004387918",126.413355485847,98
"20004387920",126.413355485847,98
"20004387923",126.413355485847,98
"20004388009",126.413355485847,98
"20004388011",126.413355485847,98
"20004388014",126.413355485847,98
"20004388018",126.413355485847,98
"20004388020",126.413355485847,98
"20004388023",126.413355485847,98
"20004388107",126.413355485847,98
"20004388109",126.413355485847,98
"20004388113",126.413355485847,98
"20004388114",126.413355485847,98
"20004388120",126.413355485847,98
"20004388123",126.413355485847,98
"20004388208",126.413355485847,98
"20004388211",126.413355485847,98
"20004388214",126.413355485847,98
"20004388217",126.413355485847,98
"20004388220",126.413355485847,98
"20004388223",126.413355485847,98
"20004388308",126.413355485847,98
"20004388311",126.413355485847,98
"20004388314",126.413355485847,98
"20004388317",126.413355485847,98
"20004388320",126.413355485847,98
"20004388323",126.413355485847,98
"20004388408",126.413355485847,98
"20004388411",126.413355485847,98
"20004388413",126.413355485847,98
"20004388418",126.413355485847,98
"20004388420",126.413355485847,98
"20004388423",126.413355485847,98
"20004388508",126.413355485847,98
"20004388509",126.413355485847,98
"20004388513",126.413355485847,98
"20004388514",126.413355485847,98
"20004388520",126.413355485847,98
"20004388523",126.413355485847,98
"20005388609",64.8860376479178,98
"20005388610",64.8860376479178,98
"20005388614",64.8860376479178,98
"20005388616",64.8860376479178,98
"20005388620",64.8860376479178,98
"20005388623",64.8860376479178,98
