"HHID","Weight","Year"
"20001383902",172,97
"20001383905",172,97
"20001383908",172,97
"20001383911",172,97
"20001383914",172,97
"20001383917",172,97
"20001384002",172,97
"20001384005",172,97
"20001384008",172,97
"20001384011",172,97
"20001384014",172,97
"20001384017",172,97
"20001384102",172,97
"20001384105",172,97
"20001384108",172,97
"20001384111",172,97
"20001384114",172,97
"20001384117",172,97
"20001384202",172,97
"20001384205",172,97
"20001384208",172,97
"20001384211",172,97
"20001384214",172,97
"20001384217",172,97
"20001384302",172,97
"20001384305",172,97
"20001384308",172,97
"20001384311",172,97
"20001384314",172,97
"20001384317",172,97
"20001384402",172,97
"20001384405",172,97
"20001384408",172,97
"20001384411",172,97
"20001384414",172,97
"20001384417",172,97
"20001384502",172,97
"20001384505",172,97
"20001384508",172,97
"20001384511",172,97
"20001384514",172,97
"20001384517",172,97
"20001384602",172,97
"20001384605",172,97
"20001384608",172,97
"20001384611",172,97
"20001384614",172,97
"20001384617",172,97
"20001384702",172,97
"20001384705",172,97
"20001384708",172,97
"20001384711",172,97
"20001384714",172,97
"20001384717",172,97
"20001384802",172,97
"20001384805",172,97
"20001384808",172,97
"20001384811",172,97
"20001384814",172,97
"20001384817",172,97
"20001384902",172,97
"20001384905",172,97
"20001384908",172,97
"20001384911",172,97
"20001384914",172,97
"20001384917",172,97
"20001385002",172,97
"20001385005",172,97
"20001385008",172,97
"20001385011",172,97
"20001385014",172,97
"20001385017",172,97
"20001385102",172,97
"20001385105",172,97
"20001385108",172,97
"20001385111",172,97
"20001385114",172,97
"20001385117",172,97
"20001385202",172,97
"20001385205",172,97
"20001385208",172,97
"20001385211",172,97
"20001385214",172,97
"20001385217",172,97
"20001385302",172,97
"20001385305",172,97
"20001385308",172,97
"20001385311",172,97
"20001385314",172,97
"20001385317",172,97
"20001385402",172,97
"20001385405",172,97
"20001385408",172,97
"20001385411",172,97
"20001385414",172,97
"20001385417",172,97
"20001385502",172,97
"20001385505",172,97
"20001385508",172,97
"20001385511",172,97
"20001385514",172,97
"20001385517",172,97
"20001385602",172,97
"20001385605",172,97
"20001385608",172,97
"20001385611",172,97
"20001385614",172,97
"20001385617",172,97
"20001385702",172,97
"20001385705",172,97
"20001385708",172,97
"20001385711",172,97
"20001385714",172,97
"20001385717",172,97
"20002385802",68,97
"20002385805",68,97
"20002385808",68,97
"20002385811",68,97
"20002385814",68,97
"20002385817",68,97
"20002385902",68,97
"20002385905",68,97
"20002385908",68,97
"20002385911",68,97
"20002385914",68,97
"20002385917",68,97
"20002386002",68,97
"20002386005",68,97
"20002386008",68,97
"20002386011",68,97
"20002386014",68,97
"20002386017",68,97
"20002386102",68,97
"20002386105",68,97
"20002386108",68,97
"20002386111",68,97
"20002386114",68,97
"20002386117",68,97
"20002386202",68,97
"20002386205",68,97
"20002386208",68,97
"20002386211",68,97
"20002386214",68,97
"20002386217",68,97
"20002386302",68,97
"20002386305",68,97
"20002386308",68,97
"20002386311",68,97
"20002386314",68,97
"20002386317",68,97
"20002386402",68,97
"20002386405",68,97
"20002386408",68,97
"20002386411",68,97
"20002386414",68,97
"20002386417",68,97
"20003386502",75,97
"20003386505",75,97
"20003386508",75,97
"20003386511",75,97
"20003386514",75,97
"20003386517",75,97
"20003386602",75,97
"20003386605",75,97
"20003386608",75,97
"20003386611",75,97
"20003386614",75,97
"20003386617",75,97
"20003386702",75,97
"20003386705",75,97
"20003386708",75,97
"20003386711",75,97
"20003386714",75,97
"20003386717",75,97
"20003386802",75,97
"20003386805",75,97
"20003386808",75,97
"20003386811",75,97
"20003386814",75,97
"20003386817",75,97
"20003386902",75,97
"20003386905",75,97
"20003386908",75,97
"20003386911",75,97
"20003386914",75,97
"20003386917",75,97
"20003387002",75,97
"20003387005",75,97
"20003387008",75,97
"20003387011",75,97
"20003387014",75,97
"20003387017",75,97
"20003387102",75,97
"20003387105",75,97
"20003387108",75,97
"20003387111",75,97
"20003387114",75,97
"20003387117",75,97
"20004387202",127,97
"20004387205",127,97
"20004387208",127,97
"20004387211",127,97
"20004387214",127,97
"20004387217",127,97
"20004387302",127,97
"20004387305",127,97
"20004387308",127,97
"20004387311",127,97
"20004387314",127,97
"20004387317",127,97
"20004387402",127,97
"20004387405",127,97
"20004387408",127,97
"20004387411",127,97
"20004387414",127,97
"20004387417",127,97
"20004387502",127,97
"20004387505",127,97
"20004387508",127,97
"20004387511",127,97
"20004387514",127,97
"20004387517",127,97
"20004387602",127,97
"20004387605",127,97
"20004387608",127,97
"20004387611",127,97
"20004387614",127,97
"20004387617",127,97
"20004387702",127,97
"20004387705",127,97
"20004387708",127,97
"20004387711",127,97
"20004387714",127,97
"20004387717",127,97
"20004387802",127,97
"20004387805",127,97
"20004387808",127,97
"20004387811",127,97
"20004387814",127,97
"20004387817",127,97
"20004387902",127,97
"20004387905",127,97
"20004387908",127,97
"20004387911",127,97
"20004387914",127,97
"20004387917",127,97
"20004388002",127,97
"20004388005",127,97
"20004388008",127,97
"20004388011",127,97
"20004388014",127,97
"20004388017",127,97
"20004388102",127,97
"20004388105",127,97
"20004388108",127,97
"20004388111",127,97
"20004388114",127,97
"20004388117",127,97
"20004388202",127,97
"20004388205",127,97
"20004388208",127,97
"20004388211",127,97
"20004388214",127,97
"20004388217",127,97
"20004388302",127,97
"20004388305",127,97
"20004388308",127,97
"20004388311",127,97
"20004388314",127,97
"20004388317",127,97
"20004388402",127,97
"20004388405",127,97
"20004388408",127,97
"20004388411",127,97
"20004388414",127,97
"20004388417",127,97
"20004388502",127,97
"20004388505",127,97
"20004388508",127,97
"20004388511",127,97
"20004388514",127,97
"20004388517",127,97
"20005388602",65,97
"20005388605",65,97
"20005388608",65,97
"20005388611",65,97
"20005388614",65,97
"20005388617",65,97
"20005388702",65,97
"20005388705",65,97
"20005388708",65,97
"20005388711",65,97
"20005388714",65,97
"20005388717",65,97
"20005388802",78,97
"20005388805",78,97
"20005388811",78,97
"20005388814",78,97
"20005388817",78,97
"20005388902",65,97
"20005388905",65,97
"20005388908",65,97
"20005388911",65,97
"20005388914",65,97
"20005388917",65,97
"20005389002",65,97
"20005389005",65,97
"20005389008",65,97
"20005389011",65,97
"20005389014",65,97
"20005389017",65,97
"20005389102",65,97
"20005389105",65,97
"20005389108",65,97
"20005389111",65,97
"20005389114",65,97
"20005389117",65,97
"20005389202",65,97
"20005389205",65,97
"20005389208",65,97
"20005389211",65,97
"20005389214",65,97
"20005389217",65,97
"20006389302",159,97
"20006389305",159,97
"20006389308",159,97
"20006389311",159,97
"20006389314",159,97
"20006389317",159,97
"20006389402",159,97
"20006389405",159,97
"20006389408",159,97
"20006389411",159,97
"20006389414",159,97
