"HHID","Year","Weight"
11001,84,237.2
11002,84,237.2
11003,84,237.2
11004,84,237.2
11005,84,237.2
11006,84,237.2
11007,84,237.2
11008,84,237.2
11009,84,237.2
11010,84,237.2
11011,84,237.2
11012,84,237.2
11013,84,237.2
11014,84,237.2
11015,84,237.2
11016,84,237.2
11017,84,237.2
11018,84,237.2
11019,84,237.2
11020,84,237.2
11021,84,237.2
11022,84,237.2
11023,84,237.2
11024,84,237.2
11025,84,237.2
11026,84,237.2
11027,84,237.2
11028,84,237.2
11029,84,237.2
11030,84,237.2
11031,84,237.2
11032,84,237.2
11033,84,237.2
11034,84,237.2
11035,84,237.2
11036,84,237.2
11037,84,237.2
11038,84,237.2
11039,84,237.2
11040,84,237.2
11041,84,237.2
11042,84,237.2
11043,84,237.2
11044,84,237.2
11045,84,237.2
12001,84,237.2
12002,84,237.2
12003,84,237.2
12004,84,237.2
12005,84,237.2
12006,84,237.2
12007,84,237.2
12008,84,237.2
12009,84,237.2
12010,84,237.2
12011,84,237.2
12012,84,237.2
12013,84,237.2
12014,84,237.2
12015,84,237.2
12016,84,237.2
12017,84,237.2
12018,84,237.2
12019,84,237.2
12020,84,237.2
12021,84,237.2
12022,84,237.2
12023,84,237.2
12024,84,237.2
12025,84,237.2
12026,84,237.2
12027,84,237.2
12028,84,237.2
12029,84,237.2
12030,84,237.2
12031,84,237.2
12032,84,237.2
12033,84,237.2
12034,84,237.2
12035,84,237.2
12036,84,237.2
12037,84,237.2
12038,84,237.2
12039,84,237.2
12040,84,237.2
12041,84,237.2
12042,84,237.2
12043,84,237.2
12044,84,237.2
12045,84,237.2
13001,84,237.2
13002,84,237.2
13003,84,237.2
13004,84,237.2
13005,84,237.2
13006,84,237.2
13007,84,237.2
13008,84,237.2
13009,84,237.2
13010,84,237.2
13011,84,237.2
13012,84,237.2
13013,84,237.2
13014,84,237.2
13015,84,237.2
13016,84,237.2
13017,84,237.2
13018,84,237.2
13019,84,237.2
13020,84,237.2
13021,84,237.2
